Day,Hour,Minute,DHI,DNI,WS,RH,T,TARGET
102,0,0,0,0,1.4,57.76,0,0
99,15,0,222,18,1.3,26.82,13,21.95726589
31,4,0,0,0,2.6,84.94,-6,0
40,18,30,0,0,1.5,89.18,2,0
191,1,30,0,0,2.4,84.35,12,0
203,0,30,0,0,1.5,71.69,14,0
152,18,0,55,583,0.7,58.28,21,18.20228641
165,14,30,355,41,2.2,50.28,22,36.49799784
62,20,30,0,0,2.4,61.63,-11,0
140,13,0,437,54,1.3,48.28,14,45.60305099
10,16,30,20,0,0.9,93.31,0,1.87695755
81,23,0,0,0,0.9,87.23,3,0
63,0,30,0,0,3.3,55.85,-13,0
24,23,30,0,0,3.2,72.76,1,0
104,18,0,44,147,6,59.07,5,5.724405958
203,20,0,0,0,0.7,50.64,21,0
19,4,30,0,0,1.2,96.49,-3,0
96,20,30,0,0,2.8,64.96,4,0
111,2,0,0,0,1.9,84.4,2,0
22,10,0,178,116,3.4,48.01,2,21.0214625
141,0,0,0,0,2.6,100,3,0
196,1,0,0,0,2.3,86.64,12,0
34,19,30,0,0,1.1,82.39,-1,0
9,21,0,0,0,1.9,75.62,-1,0
191,9,0,81,925,0.2,29.73,25,71.11714659
184,3,30,0,0,2.9,94.35,14,0
119,23,0,0,0,1.7,95.83,8,0
131,4,30,0,0,3,77.44,2,0
51,15,0,103,0,3.5,68.96,-1,9.666437614
114,10,30,405,349,2.4,31.57,15,65.58885241
81,13,0,103,970,5.8,22.66,16,79.00601817
44,13,0,266,372,3,22.02,16,45.69587987
113,15,0,108,0,2.1,45.87,12,10.13423411
112,1,30,0,0,2.3,87.05,3,0
187,4,30,0,0,3,97.82,11,0
83,19,30,0,0,0.9,70.48,-1,0
72,14,30,71,996,0.9,19.46,16,63.05468434
51,3,30,0,0,0.3,88.74,-4,0
51,8,0,59,0,1,67.84,-1,5.537085624
181,4,0,0,0,1.7,91.05,16,0
28,12,30,242,326,2.8,53.95,6,39.13198442
139,8,0,182,11,0.3,63.54,9,17.73549448
155,8,0,189,12,2.1,89.11,16,18.48478097
207,19,0,16,209,1.5,51.62,21,2.345655466
39,14,30,52,967,3.4,38.89,14,46.54138537
101,11,30,321,639,3.9,28.69,15,81.16503195
98,3,0,0,0,2.1,67.79,-1,0
164,7,0,170,319,1.9,50.03,19,28.89911066
37,8,30,40,811,3.2,52.07,8,22.42767073
59,21,0,0,0,2.7,81,-5,0
129,12,30,275,763,3.3,56.25,7,91.68232274
108,14,30,335,59,3.6,49.64,8,35.47137882
46,18,30,0,0,1.9,76.25,-6,0
36,6,30,0,0,3,58.99,1,0
21,6,0,0,0,2.5,60.72,-13,0
14,16,30,21,547,1.1,57.08,1,5.81850446
89,11,0,102,976,1.8,17.67,20,81.34822575
116,4,0,0,0,2,98.18,0,0
149,7,0,81,758,1.6,64.47,12,38.00337791
170,8,30,158,747,1.1,31.87,24,62.39237779
18,22,0,0,0,0.4,82.76,0,0
108,4,30,0,0,4.5,88.61,-3,0
64,2,30,0,0,3.2,67.02,-4,0
195,3,0,0,0,1.9,96.63,12,0
12,9,0,40,0,2.4,78.49,-1,3.753956355
110,12,0,467,111,3.4,34.19,15,53.10914229
9,4,0,0,0,3.3,72.06,0,0
158,11,0,90,977,1.6,31.29,24,94.01077075
85,6,0,0,0,1.8,79.81,3,0
127,19,0,0,0,4.2,100,7,0
0,5,0,0,0,1.3,73.74,-11,0
78,16,0,57,909,2.1,21.36,13,40.25498747
187,11,30,51,0,4.6,50.48,22,4.78508455
77,6,0,0,0,3,94.39,1,0
78,18,0,12,251,1.3,42.14,7,1.7829725
1,22,30,0,0,2.2,72.82,-8,0
