ID,company,model,year,transmission,mileage,fueltype,tax,mpg,engineSize,price
0,4, Auris,2015,1,47541,4,145,46.3,1.6,8095
1,0, X2,2018,3,5000,0,145,50.4,2,21726
2,2, Focus,2017,3,47018,4,145,51.4,1,10490
3,2, Focus,2020,1,1550,4,145,49.6,1,17490
4,0, 3 Series,2017,3,23505,0,145,64.2,2,18995
5,2, Fiesta,2020,1,2462,4,150,58.9,1,15500
6,4, Aygo,2018,1,31964,4,145,56.5,1,8790
7,3, Q3,2016,0,38235,0,160,50.4,2,18250
8,2, Fiesta,2018,1,56,4,145,58.9,1,12000
9,4, Yaris,2019,1,11102,4,145,47.9,1.5,13039
10,3, Q3,2019,1,1213,0,145,42.8,2,26990
11,4, Auris,2016,1,45495,0,20,65.7,1.6,8498
12,2, EcoSport,2019,0,433,4,150,45.6,1,16799
13,2, Kuga,2017,1,31073,0,125,60.1,2,15498
14,3, A5,2017,3,7696,0,30,67.3,2,21952
15,3, A1,2018,1,17560,4,145,54.3,1.4,16700
16,0, X5,2019,3,5597,0,145,37.7,3,52500
17,3, A4,2014,0,33894,0,200,47.1,0,14950
18,3, A3,2016,1,25955,4,30,60.1,1.4,17490
19,3, A6,2019,0,9534,0,145,50.4,2,27750
20,1, I10,2015,1,36188,4,30,57.6,1.2,6995
21,1, Tucson,2017,1,6318,4,160,44.8,1.6,12998
22,2, B-MAX,2017,1,17363,4,30,57.7,1,10200
23,0, X3,2017,0,27385,0,145,54.3,2,22000
24,0, X5,2014,0,35881,0,240,44.8,3,27581
25,4, Yaris,2016,1,48990,4,30,55,1.3,7998
26,1, Santa Fe,2017,1,29458,0,200,47.1,2.2,17991
27,4, Supra,2019,3,500,4,145,34.5,3,49994
28,1, I20,2017,1,4528,4,150,58.9,1.2,9210
29,0, 3 Series,2015,1,48402,0,30,62.8,2,12400
30,4, Yaris,2015,1,18980,4,30,55,1.3,8995
31,4, Aygo,2018,1,14680,4,145,69,1,6995
32,3, A3,2019,1,5000,0,145,51.4,1.6,18995
33,4, Aygo,2017,1,36975,4,145,68.9,1,6998
34,4, Prius,2017,0,17753,3,140,68.9,1.8,21490
35,1, Kona,2018,1,6295,4,145,52.3,1,14550
36,4, Yaris,2017,1,21390,4,145,58.9,1.5,8998
37,3, A1,2013,1,44374,0,0,74.3,1.6,9755
38,2, Fiesta,2015,1,24510,4,30,54.3,1.2,6950
39,2, S-MAX,2016,1,33770,0,125,56.5,2,15000
40,0, X1,2017,3,21113,0,145,65.7,2,18890
41,0, 2 Series,2017,0,63039,2,0,135.5,1.5,15999
42,3, Q2,2019,1,2940,4,145,39.2,1.5,26495
43,3, Q5,2019,3,12413,0,150,38.2,2,31995
44,3, Q2,2019,1,3590,0,145,49.6,1.6,19991
45,2, Fiesta,2014,1,73000,4,30,54.3,1.2,5750
46,2, Fiesta,2017,1,11345,4,145,65.7,1,8995
