ID,emotion
0,angry
1,calm
2,calm
3,calm
4,calm
5,sad
6,disgust
7,disgust
8,happy
9,disgust
10,fearful
11,angry
12,fearful
13,surprised
14,surprised
15,sad
16,happy
17,calm
18,happy
19,calm
20,angry
21,surprised
22,angry
23,calm
24,surprised
25,disgust
26,calm
27,surprised
28,calm
29,calm
30,sad
31,surprised
32,calm
33,sad
34,happy
35,happy
36,calm
37,happy
38,calm
39,calm
40,surprised
41,surprised
42,calm
43,angry
44,surprised
45,happy
46,neutral
47,sad
48,neutral
49,sad
50,happy
51,happy
52,surprised
53,disgust
54,surprised
55,calm
56,fearful
57,disgust
58,surprised
59,calm
60,angry
61,surprised
62,angry
63,angry
64,surprised
65,surprised
66,surprised
67,surprised
68,angry
69,sad
70,disgust
71,fearful
72,angry
73,surprised
74,disgust
75,sad
76,calm
77,happy
78,disgust
79,angry
80,sad
81,angry
82,angry
83,sad
84,neutral
85,fearful
86,angry
87,disgust
88,disgust
89,surprised
90,happy
91,calm
92,happy
93,neutral
94,fearful
95,neutral
96,angry
97,calm
98,disgust
99,happy
100,sad
101,calm
102,surprised
103,calm
104,sad
105,fearful
106,calm
107,calm
108,surprised
109,happy
110,calm
111,calm
112,sad
113,surprised
114,angry
115,surprised
116,surprised
117,disgust
118,disgust
119,sad
120,angry
121,calm
122,sad
123,fearful
124,surprised
125,calm
126,angry
127,sad
128,angry
129,happy
130,calm
131,angry
132,disgust
133,disgust
134,happy
135,calm
136,happy
137,sad
138,neutral
139,happy
140,disgust
141,happy
142,calm
143,happy
144,happy
145,disgust
146,disgust
147,disgust
148,calm
149,sad
150,happy
151,disgust
152,calm
153,happy
154,calm
155,calm
156,calm
157,calm
158,surprised
159,surprised
160,calm
161,angry
162,surprised
163,neutral
164,happy
165,sad
166,disgust
167,happy
168,surprised
169,angry
170,angry
171,angry
172,calm
173,happy
174,sad
175,angry
176,happy
177,fearful
178,calm
179,angry
180,calm
181,fearful
182,calm
183,disgust
184,fearful
185,happy
186,fearful
187,sad
188,calm
189,disgust
190,disgust
191,calm
192,surprised
193,surprised
194,surprised
195,happy
196,fearful
197,calm
198,angry
199,disgust
200,happy
201,calm
202,sad
203,calm
204,disgust
205,surprised
206,surprised
207,fearful
208,angry
209,disgust
210,calm
211,surprised
212,angry
213,surprised
214,surprised
215,sad
216,disgust
217,angry
218,calm
219,angry
220,sad
221,disgust
222,sad
223,angry
224,angry
225,surprised
226,disgust
227,calm
228,angry
229,happy
230,fearful
231,fearful
232,calm
233,fearful
234,calm
235,angry
236,disgust
237,fearful
238,surprised
239,surprised
240,disgust
241,calm
242,sad
243,calm
244,calm
245,surprised
246,fearful
247,sad
248,fearful
249,sad
250,calm
251,disgust
252,disgust
253,fearful
254,angry
255,calm
256,happy
257,angry
258,calm
259,surprised
260,angry
261,calm
262,calm
263,happy
264,angry
265,neutral
266,calm
267,happy
268,disgust
269,sad
270,disgust
271,sad
272,fearful
273,calm
274,disgust
275,happy
276,angry
277,surprised
278,fearful
279,sad
280,surprised
281,surprised
282,surprised
283,surprised
284,disgust
285,surprised
286,calm
287,calm
288,calm
289,happy
290,sad
291,calm
292,fearful
293,fearful
294,angry
295,surprised
296,sad
297,sad
298,fearful
299,happy
300,fearful
301,sad
302,sad
303,surprised
304,fearful
305,surprised
306,calm
307,fearful
308,calm
309,surprised
310,calm
311,angry
312,sad
313,surprised
314,disgust
315,disgust
316,happy
317,calm
318,surprised
319,fearful
320,sad
321,angry
322,calm
323,sad
324,calm
325,angry
326,fearful
327,calm
328,surprised
329,disgust
330,calm
331,surprised
332,neutral
333,sad
334,disgust
335,sad
336,fearful
337,happy
338,fearful
339,disgust
340,disgust
341,fearful
342,calm
343,surprised
344,happy
345,surprised
346,sad
347,neutral
348,calm
349,fearful
350,calm
351,surprised
352,fearful
353,angry
354,happy
355,calm
356,surprised
357,disgust
358,disgust
359,calm
360,calm
361,neutral
362,fearful
363,angry
364,sad
365,neutral
366,calm
367,calm
368,surprised
369,disgust
370,calm
371,surprised
372,neutral
373,sad
374,fearful
375,angry
376,angry
377,angry
378,calm
379,sad
380,happy
381,calm
382,surprised
383,sad
384,happy
385,happy
386,sad
387,calm
388,surprised
389,angry
390,fearful
391,neutral
392,calm
393,angry
394,angry
395,surprised
396,calm
397,surprised
398,angry
399,calm
400,happy
401,disgust
402,calm
403,calm
404,disgust
405,calm
406,calm
407,calm
408,calm
409,calm
410,disgust
411,angry
412,happy
413,surprised
414,calm
415,surprised
416,happy
417,sad
418,angry
419,calm
420,calm
421,surprised
422,happy
423,disgust
424,angry
425,calm
426,angry
427,calm
428,happy
429,happy
430,calm
431,sad
