ID,emotion
0,angry
1,calm
2,neutral
3,calm
4,disgust
5,sad
6,disgust
7,disgust
8,happy
9,disgust
10,fearful
11,angry
12,happy
13,surprised
14,surprised
15,sad
16,disgust
17,calm
18,happy
19,calm
20,angry
21,surprised
22,happy
23,calm
24,surprised
25,disgust
26,calm
27,disgust
28,calm
29,sad
30,sad
31,disgust
32,calm
33,sad
34,disgust
35,fearful
36,calm
37,happy
38,calm
39,sad
40,angry
41,surprised
42,calm
43,angry
44,sad
45,angry
46,neutral
47,sad
48,sad
49,fearful
50,surprised
51,happy
52,fearful
53,disgust
54,surprised
55,calm
56,fearful
57,disgust
58,surprised
59,calm
60,angry
61,surprised
62,surprised
63,surprised
64,fearful
65,angry
66,surprised
67,disgust
68,fearful
69,disgust
70,disgust
71,fearful
72,angry
73,surprised
74,neutral
75,calm
76,calm
77,happy
78,sad
79,angry
80,sad
81,angry
82,disgust
83,calm
84,neutral
85,angry
86,angry
87,disgust
88,surprised
89,disgust
90,sad
91,disgust
92,happy
93,calm
94,fearful
95,calm
96,fearful
97,disgust
98,disgust
99,fearful
100,disgust
101,calm
102,disgust
103,calm
104,sad
105,angry
106,calm
107,sad
108,surprised
109,happy
110,sad
111,calm
112,sad
113,surprised
114,happy
115,angry
116,surprised
117,surprised
118,disgust
119,calm
120,angry
121,calm
122,sad
123,angry
124,fearful
125,calm
126,angry
127,disgust
128,disgust
129,surprised
130,sad
131,angry
132,calm
133,surprised
134,sad
135,calm
136,happy
137,sad
138,calm
139,disgust
140,disgust
141,happy
142,calm
143,calm
144,happy
145,sad
146,disgust
147,happy
148,calm
149,disgust
150,happy
151,disgust
152,calm
153,happy
154,neutral
155,disgust
156,calm
157,calm
158,surprised
159,disgust
160,sad
161,fearful
162,disgust
163,neutral
164,disgust
165,calm
166,sad
167,fearful
168,fearful
169,angry
170,angry
171,surprised
172,neutral
173,angry
174,surprised
175,angry
176,happy
177,fearful
178,calm
179,angry
180,calm
181,sad
182,calm
183,disgust
184,fearful
185,sad
186,fearful
187,calm
188,calm
189,disgust
190,surprised
191,calm
192,disgust
193,surprised
194,angry
195,happy
196,surprised
197,disgust
198,angry
199,disgust
200,angry
201,calm
202,sad
203,disgust
204,disgust
205,surprised
206,disgust
207,surprised
208,angry
209,calm
210,calm
211,happy
212,angry
213,happy
214,surprised
215,calm
216,surprised
217,angry
218,calm
219,angry
220,neutral
221,calm
222,disgust
223,angry
224,fearful
225,disgust
226,happy
227,calm
228,angry
229,fearful
230,fearful
231,fearful
232,calm
233,disgust
234,calm
235,angry
236,disgust
237,fearful
238,surprised
239,fearful
240,calm
241,calm
242,sad
243,calm
244,calm
245,disgust
246,surprised
247,sad
248,surprised
249,sad
250,neutral
251,fearful
252,happy
253,fearful
254,surprised
255,fearful
256,happy
257,disgust
258,calm
259,surprised
260,angry
261,calm
262,calm
263,angry
264,angry
265,neutral
266,calm
267,happy
268,surprised
269,sad
270,fearful
271,surprised
272,happy
273,calm
274,disgust
275,disgust
276,angry
277,disgust
278,fearful
279,calm
280,surprised
281,surprised
282,fearful
283,surprised
284,surprised
285,surprised
286,calm
287,calm
288,sad
289,happy
290,sad
291,calm
292,disgust
293,disgust
294,surprised
295,fearful
296,calm
297,disgust
298,fearful
299,calm
300,fearful
301,fearful
302,neutral
303,surprised
304,fearful
305,disgust
306,sad
307,fearful
308,calm
309,disgust
310,fearful
311,fearful
312,sad
313,fearful
314,disgust
315,disgust
316,happy
317,calm
318,surprised
319,surprised
320,sad
321,angry
322,calm
323,sad
324,calm
325,angry
326,fearful
327,neutral
328,disgust
329,disgust
330,calm
331,angry
332,calm
333,surprised
334,disgust
335,disgust
336,angry
337,happy
338,sad
339,disgust
340,disgust
341,disgust
342,sad
343,surprised
344,happy
345,surprised
346,sad
347,calm
348,calm
349,sad
350,neutral
351,surprised
352,disgust
353,surprised
354,happy
355,calm
356,fearful
357,disgust
358,happy
359,calm
360,sad
361,calm
362,happy
363,angry
364,sad
365,neutral
366,sad
367,calm
368,surprised
369,disgust
370,disgust
371,surprised
372,neutral
373,calm
374,sad
375,angry
376,disgust
377,angry
378,calm
379,sad
380,surprised
381,calm
382,happy
383,happy
384,happy
385,sad
386,sad
387,calm
388,surprised
389,angry
390,fearful
391,calm
392,calm
393,angry
394,fearful
395,happy
396,happy
397,surprised
398,angry
399,calm
400,happy
401,disgust
402,neutral
403,calm
404,disgust
405,calm
406,calm
407,calm
408,calm
409,calm
410,disgust
411,angry
412,fearful
413,surprised
414,calm
415,disgust
416,surprised
417,sad
418,angry
419,calm
420,calm
421,surprised
422,happy
423,disgust
424,fearful
425,calm
426,angry
427,calm
428,happy
429,happy
430,calm
431,sad
