Id,Category
0,Biking
1,HorseRace
2,CuttingInKitchen
3,Skiing
4,GolfSwing
5,BoxingPunchingBag
6,StillRings
7,SalsaSpin
8,StillRings
9,SalsaSpin
10,PlayingSitar
11,StillRings
12,JumpingJack
13,BrushingTeeth
14,YoYo
15,Fencing
16,FieldHockeyPenalty
17,SkateBoarding
18,ApplyLipstick
19,Skiing
20,HammerThrow
21,MoppingFloor
22,Rowing
23,JavelinThrow
24,SkyDiving
25,SkyDiving
26,MoppingFloor
27,Haircut
28,CuttingInKitchen
29,HorseRiding
30,ApplyEyeMakeup
31,PullUps
32,BlowDryHair
33,HighJump
34,PushUps
35,TaiChi
36,CliffDiving
37,HandStandPushups
38,Skiing
39,BoxingPunchingBag
40,Typing
41,Billiards
42,PoleVault
43,CricketShot
44,HulaHoop
45,Diving
46,BenchPress
47,BabyCrawling
48,YoYo
49,StillRings
50,YoYo
51,ApplyEyeMakeup
52,JavelinThrow
53,Drumming
54,WritingOnBoard
55,JumpRope
56,Swing
57,ApplyLipstick
58,HorseRiding
59,Kayaking
60,BasketballDunk
61,HeadMassage
62,PizzaTossing
63,CricketBowling
64,Kayaking
65,Basketball
66,RopeClimbing
67,MilitaryParade
68,HorseRace
69,TrampolineJumping
70,BenchPress
71,Biking
72,FieldHockeyPenalty
73,PlayingTabla
74,JavelinThrow
75,StillRings
76,Archery
77,SkyDiving
78,FrisbeeCatch
79,ParallelBars
80,BabyCrawling
81,JumpRope
82,Shotput
83,Skiing
84,WalkingWithDog
85,PoleVault
86,Nunchucks
87,PommelHorse
88,SkyDiving
89,BrushingTeeth
90,PullUps
91,Rowing
92,HeadMassage
93,PullUps
94,BalanceBeam
95,Basketball
96,JavelinThrow
97,Surfing
98,HandStandPushups
99,SalsaSpin
100,PizzaTossing
101,BalanceBeam
102,MoppingFloor
103,Fencing
104,TennisSwing
105,Hammering
106,PlayingDaf
107,IceDancing
108,Drumming
109,Basketball
110,HammerThrow
111,YoYo
112,BenchPress
113,Surfing
114,Punch
115,TrampolineJumping
116,Knitting
117,GolfSwing
118,BlowingCandles
119,BlowDryHair
120,Haircut
121,SalsaSpin
122,Biking
123,FloorGymnastics
124,SalsaSpin
125,IceDancing
126,SumoWrestling
127,RopeClimbing
128,Rafting
129,CricketShot
130,MilitaryParade
131,YoYo
132,CricketShot
133,WalkingWithDog
134,Surfing
135,BoxingSpeedBag
136,SumoWrestling
137,PlayingPiano
138,IceDancing
139,ParallelBars
140,JumpingJack
141,IceDancing
142,BreastStroke
143,Diving
144,PoleVault
145,MoppingFloor
146,UnevenBars
147,Kayaking
148,PullUps
149,PlayingViolin
150,JumpRope
151,SkateBoarding
152,HighJump
153,StillRings
154,PoleVault
155,Lunges
156,HammerThrow
157,Basketball
158,Swing
159,ApplyLipstick
