Id,Category
0,Biking
1,HorseRace
2,CuttingInKitchen
3,Skiing
4,Biking
5,BoxingPunchingBag
6,StillRings
7,Lunges
8,Diving
9,SalsaSpin
10,JumpingJack
11,PushUps
12,HorseRiding
13,BrushingTeeth
14,SalsaSpin
15,BalanceBeam
16,FieldHockeyPenalty
17,JumpRope
18,MoppingFloor
19,Surfing
20,CliffDiving
21,MoppingFloor
22,Surfing
23,JavelinThrow
24,SkyDiving
25,Surfing
26,MoppingFloor
27,Haircut
28,CuttingInKitchen
29,HorseRiding
30,ApplyEyeMakeup
31,TrampolineJumping
32,BlowDryHair
33,Basketball
34,PushUps
35,BabyCrawling
36,RockClimbingIndoor
37,HandStandPushups
38,Skiing
39,BoxingPunchingBag
40,FloorGymnastics
41,Billiards
42,PoleVault
43,CricketShot
44,HulaHoop
45,HorseRace
46,BenchPress
47,CricketBowling
48,YoYo
49,StillRings
50,CricketShot
51,BlowDryHair
52,JavelinThrow
53,Drumming
54,PoleVault
55,Archery
56,Swing
57,ApplyLipstick
58,HorseRiding
59,Diving
60,BasketballDunk
61,HeadMassage
62,PizzaTossing
63,CricketBowling
64,Kayaking
65,Basketball
66,WalkingWithDog
67,MilitaryParade
68,HorseRace
69,Biking
70,BenchPress
71,Biking
72,SkyDiving
73,RockClimbingIndoor
74,JavelinThrow
75,HandStandWalking
76,PoleVault
77,SkyDiving
78,FrisbeeCatch
79,Punch
80,BabyCrawling
81,PushUps
82,Shotput
83,Skiing
84,WalkingWithDog
85,MilitaryParade
86,SalsaSpin
87,UnevenBars
88,Skiing
89,BrushingTeeth
90,PullUps
91,Rowing
92,HeadMassage
93,SalsaSpin
94,Shotput
95,Basketball
96,Skijet
97,FloorGymnastics
98,HandStandPushups
99,BoxingSpeedBag
100,BoxingSpeedBag
101,BalanceBeam
102,MoppingFloor
103,Fencing
104,IceDancing
105,Hammering
106,PlayingDaf
107,IceDancing
108,Drumming
109,Basketball
110,BabyCrawling
111,PlayingPiano
112,BenchPress
113,Surfing
114,Punch
115,TrampolineJumping
116,Knitting
117,PlayingSitar
118,BlowingCandles
119,BlowDryHair
120,Haircut
121,BrushingTeeth
122,Biking
123,FloorGymnastics
124,Mixing
125,IceDancing
126,BasketballDunk
127,BenchPress
128,Knitting
129,BabyCrawling
130,HighJump
131,YoYo
132,CricketShot
133,Kayaking
134,Surfing
135,BoxingSpeedBag
136,SumoWrestling
137,PlayingViolin
138,IceDancing
139,BoxingSpeedBag
140,Archery
141,IceDancing
142,BreastStroke
143,HighJump
144,LongJump
145,ApplyEyeMakeup
146,UnevenBars
147,BodyWeightSquats
148,RopeClimbing
149,PlayingViolin
150,SalsaSpin
151,Surfing
152,HighJump
153,BasketballDunk
154,Biking
155,Lunges
156,StillRings
157,Basketball
158,SalsaSpin
