Id,Category
0,Swing
1,HorseRace
2,CuttingInKitchen
3,ThrowDiscus
4,Swing
5,MoppingFloor
6,StillRings
7,Biking
8,BasketballDunk
9,SalsaSpin
10,WritingOnBoard
11,StillRings
12,Basketball
13,PlayingDaf
14,HeadMassage
15,Shotput
16,CricketShot
17,SkateBoarding
18,MoppingFloor
19,Surfing
20,WritingOnBoard
21,HandStandPushups
22,FrisbeeCatch
23,HammerThrow
24,BlowDryHair
25,SkyDiving
26,CleanAndJerk
27,ApplyEyeMakeup
28,CricketShot
29,Punch
30,PlayingGuitar
31,StillRings
32,ApplyEyeMakeup
33,CleanAndJerk
34,HammerThrow
35,CuttingInKitchen
36,CliffDiving
37,HulaHoop
38,PullUps
39,PlayingDaf
40,HandStandWalking
41,Billiards
42,JumpRope
43,HammerThrow
44,PlayingPiano
45,Fencing
46,BandMarching
47,CricketShot
48,HandStandPushups
49,StillRings
50,IceDancing
51,PlayingDaf
52,BalanceBeam
53,BenchPress
54,PlayingGuitar
55,PlayingDaf
56,Drumming
57,Haircut
58,PoleVault
59,JavelinThrow
60,BasketballDunk
61,CliffDiving
62,BoxingSpeedBag
63,WallPushups
64,Biking
65,WalkingWithDog
66,Biking
67,PoleVault
68,HorseRace
69,Basketball
70,HeadMassage
71,Basketball
72,CliffDiving
73,BandMarching
74,JavelinThrow
75,ParallelBars
76,Skiing
77,HammerThrow
78,Surfing
79,PommelHorse
80,RockClimbingIndoor
81,HeadMassage
82,ParallelBars
83,Archery
84,HighJump
85,BoxingSpeedBag
86,BoxingPunchingBag
87,Punch
88,SkyDiving
89,PlayingDaf
90,PullUps
91,Rowing
92,HandStandPushups
93,Drumming
94,BalanceBeam
95,TennisSwing
96,SkyDiving
97,CuttingInKitchen
98,HammerThrow
99,Biking
100,StillRings
101,Fencing
102,JavelinThrow
103,Skijet
104,CleanAndJerk
105,MoppingFloor
106,JumpingJack
107,IceDancing
108,HammerThrow
109,Nunchucks
110,Shotput
111,Punch
112,Drumming
113,FrontCrawl
114,ParallelBars
115,BoxingSpeedBag
116,PlayingSitar
117,SkateBoarding
118,HandStandPushups
119,BlowDryHair
120,HeadMassage
121,PoleVault
122,PoleVault
123,LongJump
124,RopeClimbing
125,Punch
126,HandStandWalking
127,JumpingJack
128,Knitting
129,CricketShot
130,HighJump
131,PlayingPiano
132,CuttingInKitchen
133,Diving
134,Surfing
135,PlayingDaf
136,Shotput
137,PlayingPiano
138,IceDancing
139,RockClimbingIndoor
140,PlayingDaf
141,IceDancing
142,CricketBowling
143,Punch
144,SkateBoarding
145,RopeClimbing
146,UnevenBars
147,Rafting
148,RopeClimbing
149,PlayingPiano
150,PlayingDaf
151,FrisbeeCatch
152,HighJump
153,HandStandWalking
154,Swing
155,VolleyballSpiking
156,StillRings
157,FrisbeeCatch
158,BenchPress
159,ApplyEyeMakeup
160,ParallelBars
161,Drumming
162,CliffDiving
163,PlayingGuitar
164,HighJump
165,Fencing
166,Punch
167,HandStandPushups
168,HeadMassage
169,Swing
170,BoxingSpeedBag
171,Surfing
172,Biking
173,IceDancing
174,PoleVault
175,Skijet
176,Fencing
177,HandStandWalking
178,Biking
179,BasketballDunk
180,HorseRiding
181,ParallelBars
182,BreastStroke
183,Surfing
184,BenchPress
185,BlowingCandles
186,PlayingDaf
187,Skiing
188,PlayingPiano
189,CliffDiving
190,IceDancing
191,Punch
192,CliffDiving
193,BasketballDunk
194,PlayingDaf
195,PlayingPiano
196,PlayingPiano
197,ApplyEyeMakeup
198,BlowDryHair
199,Basketball
200,PlayingDhol
201,HandStandWalking
202,BreastStroke
203,JumpRope
204,HandStandWalking
205,Fencing
206,PlayingDaf
207,PoleVault
208,StillRings
209,SkyDiving
210,HulaHoop
211,HandStandPushups
212,PlayingDaf
213,Typing
214,BaseballPitch
215,MilitaryParade
216,SoccerPenalty
217,StillRings
218,BoxingSpeedBag
219,CliffDiving
220,HorseRace
221,BreastStroke
222,Swing
223,PlayingGuitar
224,StillRings
225,Nunchucks
226,FieldHockeyPenalty
227,PlayingPiano
228,CricketShot
229,Shotput
230,BoxingSpeedBag
231,Billiards
232,SkyDiving
233,Billiards
234,PlayingGuitar
235,IceDancing
236,Kayaking
237,Shotput
238,Rowing
239,PommelHorse
240,RockClimbingIndoor
241,BlowingCandles
242,MoppingFloor
243,Biking
244,BreastStroke
245,Rowing
246,BlowingCandles
247,PlayingCello
248,BreastStroke
249,BlowDryHair
