Id,Category
0,BalanceBeam
1,BalanceBeam
2,JumpingJack
3,Bowling
4,BalanceBeam
5,PommelHorse
6,BenchPress
7,HeadMassage
8,BrushingTeeth
9,CuttingInKitchen
10,Rowing
11,WalkingWithDog
12,BreastStroke
13,PoleVault
14,CricketBowling
15,WallPushups
16,RopeClimbing
17,BoxingSpeedBag
18,BalanceBeam
19,FloorGymnastics
20,Fencing
21,MilitaryParade
22,TrampolineJumping
23,CliffDiving
24,PlayingViolin
25,GolfSwing
26,PushUps
27,GolfSwing
28,CricketBowling
29,MoppingFloor
30,MilitaryParade
31,BoxingSpeedBag
32,Billiards
33,HandStandWalking
34,PlayingDaf
35,BabyCrawling
36,ShavingBeard
37,PlayingPiano
38,Mixing
39,Nunchucks
40,Hammering
41,MilitaryParade
42,HulaHoop
43,HandStandPushups
44,PoleVault
45,HandStandWalking
46,PlayingTabla
47,HulaHoop
48,BlowDryHair
49,PlayingViolin
50,Nunchucks
51,Rowing
52,JumpingJack
53,SalsaSpin
54,Hammering
55,PlayingDaf
56,Skiing
57,WalkingWithDog
58,CliffDiving
59,SoccerPenalty
60,PlayingDaf
61,JugglingBalls
62,Kayaking
63,BalanceBeam
64,HammerThrow
65,SumoWrestling
66,PoleVault
67,SkateBoarding
68,Typing
69,PlayingTabla
70,MoppingFloor
71,BreastStroke
72,Biking
73,Kayaking
74,Haircut
75,CliffDiving
76,TrampolineJumping
77,Bowling
78,PlayingDhol
79,Basketball
80,PizzaTossing
81,Haircut
82,PizzaTossing
83,BandMarching
84,Haircut
85,Swing
86,BrushingTeeth
87,JumpingJack
88,Punch
89,FieldHockeyPenalty
90,WallPushups
91,BabyCrawling
92,HorseRiding
93,MoppingFloor
94,BoxingSpeedBag
95,Skijet
96,BreastStroke
97,CuttingInKitchen
98,Punch
99,CleanAndJerk
100,BandMarching
101,FrisbeeCatch
102,HighJump
103,JumpingJack
104,Haircut
105,FrontCrawl
106,RopeClimbing
107,HammerThrow
108,PlayingPiano
109,BodyWeightSquats
110,CricketBowling
111,BlowDryHair
112,Kayaking
113,FloorGymnastics
114,SkyDiving
115,TaiChi
116,CliffDiving
117,PlayingFlute
